question,option_a,option_b,option_c,option_d,correct
"Топинг: Қанотсиз учади, оғизсиз йиғлайди. Жавоб қайси?",Туман,Булут,Қор,Шамол,B
"Қуйидаги саволга жавоб беринг: Қанотсиз учади, оғизсиз йиғлайди. Қайси жавоб тўғри?",Шамол,Булут,Туман,Қор,B
"Ўйлаб кўринг: Қанотсиз учади, оғизсиз йиғлайди. Бу нима?",Қор,Булут,Туман,Шамол,B
"Тезкор савол: Қанотсиз учади, оғизсиз йиғлайди. Нима деб ўйлайсиз?",Туман,Шамол,Қор,Булут,D
"Оддий савол: Қанотсиз учади, оғизсиз йиғлайди. Тўғри жавобни топинг.",Шамол,Қор,Булут,Туман,C
"Эътибор билан ўқинг: Қанотсиз учади, оғизсиз йиғлайди. Жавоб қайси?",Туман,Булут,Шамол,Қор,B
"Савол: Қанотсиз учади, оғизсиз йиғлайди. Қайси жавоб тўғри?",Шамол,Қор,Туман,Булут,D
"Қишда тушади, ёзда йўқолади. Бу нима?",Туз,Ёмғир,Шудринг,Қор,D
"Жумбоқ: Қишда тушади, ёзда йўқолади. Нима деб ўйлайсиз?",Ёмғир,Туз,Шудринг,Қор,D
"Мантиқли савол: Қишда тушади, ёзда йўқолади. Тўғри жавобни топинг.",Қор,Туз,Шудринг,Ёмғир,A
"Топинг: Қишда тушади, ёзда йўқолади. Жавоб қайси?",Қор,Шудринг,Туз,Ёмғир,A
"Қуйидаги саволга жавоб беринг: Қишда тушади, ёзда йўқолади. Қайси жавоб тўғри?",Туз,Қор,Шудринг,Ёмғир,B
"Ўйлаб кўринг: Қишда тушади, ёзда йўқолади. Бу нима?",Қор,Туз,Ёмғир,Шудринг,A
"Тезкор савол: Қишда тушади, ёзда йўқолади. Нима деб ўйлайсиз?",Қор,Ёмғир,Шудринг,Туз,A
"Оддий савол: Қишда тушади, ёзда йўқолади. Тўғри жавобни топинг.",Ёмғир,Шудринг,Туз,Қор,D
"Эътибор билан ўқинг: Қишда тушади, ёзда йўқолади. Жавоб қайси?",Шудринг,Туз,Ёмғир,Қор,D
"Савол: Қишда тушади, ёзда йўқолади. Қайси жавоб тўғри?",Туз,Қор,Шудринг,Ёмғир,B
"Оқ, сувга тушса йўқолади. Бу нима?",Шакар,Қор,Ун,Туз,D
"Жумбоқ: Оқ, сувга тушса йўқолади. Нима деб ўйлайсиз?",Ун,Қор,Туз,Шакар,C
"Мантиқли савол: Оқ, сувга тушса йўқолади. Тўғри жавобни топинг.",Шакар,Ун,Туз,Қор,C
"Топинг: Оқ, сувга тушса йўқолади. Жавоб қайси?",Туз,Шакар,Ун,Қор,A
"Қуйидаги саволга жавоб беринг: Оқ, сувга тушса йўқолади. Қайси жавоб тўғри?",Ун,Туз,Қор,Шакар,B
"Ўйлаб кўринг: Оқ, сувга тушса йўқолади. Бу нима?",Қор,Шакар,Туз,Ун,C
"Тезкор савол: Оқ, сувга тушса йўқолади. Нима деб ўйлайсиз?",Шакар,Қор,Туз,Ун,C
"Оддий савол: Оқ, сувга тушса йўқолади. Тўғри жавобни топинг.",Ун,Шакар,Қор,Туз,D
"Эътибор билан ўқинг: Оқ, сувга тушса йўқолади. Жавоб қайси?",Туз,Ун,Шакар,Қор,A
"Савол: Оқ, сувга тушса йўқолади. Қайси жавоб тўғри?",Шакар,Туз,Қор,Ун,B
"Ўзи гапирмайди, лекин гап етказади. Бу нима?",Радио,Соат,Китоб,Телефон,D
"Жумбоқ: Ўзи гапирмайди, лекин гап етказади. Нима деб ўйлайсиз?",Соат,Китоб,Телефон,Радио,C
"Мантиқли савол: Ўзи гапирмайди, лекин гап етказади. Тўғри жавобни топинг.",Радио,Китоб,Телефон,Соат,C
"Топинг: Ўзи гапирмайди, лекин гап етказади. Жавоб қайси?",Радио,Телефон,Китоб,Соат,B
"Қуйидаги саволга жавоб беринг: Ўзи гапирмайди, лекин гап етказади. Қайси жавоб тўғри?",Китоб,Телефон,Соат,Радио,B
"Ўйлаб кўринг: Ўзи гапирмайди, лекин гап етказади. Бу нима?",Радио,Китоб,Соат,Телефон,D
"Тезкор савол: Ўзи гапирмайди, лекин гап етказади. Нима деб ўйлайсиз?",Соат,Китоб,Радио,Телефон,D
"Оддий савол: Ўзи гапирмайди, лекин гап етказади. Тўғри жавобни топинг.",Соат,Радио,Китоб,Телефон,D
"Эътибор билан ўқинг: Ўзи гапирмайди, лекин гап етказади. Жавоб қайси?",Телефон,Радио,Соат,Китоб,A
"Савол: Ўзи гапирмайди, лекин гап етказади. Қайси жавоб тўғри?",Радио,Телефон,Китоб,Соат,B
"Оғзи йўқ, мингта гап айтади. Бу нима?",Телефон,Китоб,Хат,Дафтар,B
"Жумбоқ: Оғзи йўқ, мингта гап айтади. Нима деб ўйлайсиз?",Китоб,Телефон,Дафтар,Хат,A
"Мантиқли савол: Оғзи йўқ, мингта гап айтади. Тўғри жавобни топинг.",Китоб,Хат,Дафтар,Телефон,A
"Топинг: Оғзи йўқ, мингта гап айтади. Жавоб қайси?",Телефон,Хат,Китоб,Дафтар,C
"Қуйидаги саволга жавоб беринг: Оғзи йўқ, мингта гап айтади. Қайси жавоб тўғри?",Хат,Телефон,Китоб,Дафтар,C
"Ўйлаб кўринг: Оғзи йўқ, мингта гап айтади. Бу нима?",Дафтар,Хат,Китоб,Телефон,C
"Тезкор савол: Оғзи йўқ, мингта гап айтади. Нима деб ўйлайсиз?",Дафтар,Китоб,Телефон,Хат,B
"Оддий савол: Оғзи йўқ, мингта гап айтади. Тўғри жавобни топинг.",Дафтар,Хат,Телефон,Китоб,D
"Эътибор билан ўқинг: Оғзи йўқ, мингта гап айтади. Жавоб қайси?",Хат,Телефон,Китоб,Дафтар,C
"Савол: Оғзи йўқ, мингта гап айтади. Қайси жавоб тўғри?",Телефон,Китоб,Хат,Дафтар,B
"Юради, лекин оёғи йўқ. Бу нима?",Илон,Дарё,Поезд,Йўл,B
"Жумбоқ: Юради, лекин оёғи йўқ. Нима деб ўйлайсиз?",Илон,Поезд,Йўл,Дарё,D
"Мантиқли савол: Юради, лекин оёғи йўқ. Тўғри жавобни топинг.",Илон,Йўл,Дарё,Поезд,C
"Топинг: Юради, лекин оёғи йўқ. Жавоб қайси?",Дарё,Поезд,Илон,Йўл,A
"Қуйидаги саволга жавоб беринг: Юради, лекин оёғи йўқ. Қайси жавоб тўғри?",Дарё,Илон,Поезд,Йўл,A
"Ўйлаб кўринг: Юради, лекин оёғи йўқ. Бу нима?",Поезд,Дарё,Йўл,Илон,B
"Тезкор савол: Юради, лекин оёғи йўқ. Нима деб ўйлайсиз?",Поезд,Илон,Йўл,Дарё,D
"Оддий савол: Юради, лекин оёғи йўқ. Тўғри жавобни топинг.",Йўл,Илон,Поезд,Дарё,D
"Эътибор билан ўқинг: Юради, лекин оёғи йўқ. Жавоб қайси?",Илон,Йўл,Дарё,Поезд,C
"Савол: Юради, лекин оёғи йўқ. Қайси жавоб тўғри?",Поезд,Йўл,Илон,Дарё,D
"Қишда ечиниб, баҳорда кийинади. Бу нима?",Уй,Гул,Дарахт,Майса,C
"Жумбоқ: Қишда ечиниб, баҳорда кийинади. Нима деб ўйлайсиз?",Гул,Дарахт,Уй,Майса,B
"Мантиқли савол: Қишда ечиниб, баҳорда кийинади. Тўғри жавобни топинг.",Гул,Дарахт,Уй,Майса,B
"Топинг: Қишда ечиниб, баҳорда кийинади. Жавоб қайси?",Майса,Дарахт,Уй,Гул,B
"Қуйидаги саволга жавоб беринг: Қишда ечиниб, баҳорда кийинади. Қайси жавоб тўғри?",Гул,Уй,Майса,Дарахт,D
"Ўйлаб кўринг: Қишда ечиниб, баҳорда кийинади. Бу нима?",Уй,Дарахт,Гул,Майса,B
"Тезкор савол: Қишда ечиниб, баҳорда кийинади. Нима деб ўйлайсиз?",Уй,Гул,Дарахт,Майса,C
"Оддий савол: Қишда ечиниб, баҳорда кийинади. Тўғри жавобни топинг.",Майса,Дарахт,Гул,Уй,B
"Эътибор билан ўқинг: Қишда ечиниб, баҳорда кийинади. Жавоб қайси?",Уй,Гул,Майса,Дарахт,D
"Савол: Қишда ечиниб, баҳорда кийинади. Қайси жавоб тўғри?",Гул,Уй,Дарахт,Майса,C
"Оғзи йўқ, аммо ҳамма нарсани ейди. Бу нима?",Қум,Сув,Олов,Шамол,C
"Жумбоқ: Оғзи йўқ, аммо ҳамма нарсани ейди. Нима деб ўйлайсиз?",Олов,Қум,Шамол,Сув,A
"Мантиқли савол: Оғзи йўқ, аммо ҳамма нарсани ейди. Тўғри жавобни топинг.",Сув,Олов,Шамол,Қум,B
"Топинг: Оғзи йўқ, аммо ҳамма нарсани ейди. Жавоб қайси?",Сув,Шамол,Қум,Олов,D
"Қуйидаги саволга жавоб беринг: Оғзи йўқ, аммо ҳамма нарсани ейди. Қайси жавоб тўғри?",Шамол,Қум,Сув,Олов,D
"Ўйлаб кўринг: Оғзи йўқ, аммо ҳамма нарсани ейди. Бу нима?",Сув,Шамол,Олов,Қум,C
"Тезкор савол: Оғзи йўқ, аммо ҳамма нарсани ейди. Нима деб ўйлайсиз?",Қум,Олов,Сув,Шамол,B
"Оддий савол: Оғзи йўқ, аммо ҳамма нарсани ейди. Тўғри жавобни топинг.",Сув,Қум,Олов,Шамол,C
"Эътибор билан ўқинг: Оғзи йўқ, аммо ҳамма нарсани ейди. Жавоб қайси?",Қум,Шамол,Сув,Олов,D
"Савол: Оғзи йўқ, аммо ҳамма нарсани ейди. Қайси жавоб тўғри?",Қум,Шамол,Олов,Сув,C
"Кечаси чиқади, кундузи яширинади. Бу нима?",Юлдуз,Ой,Фонарь,Қуёш,B
"Жумбоқ: Кечаси чиқади, кундузи яширинади. Нима деб ўйлайсиз?",Ой,Фонарь,Юлдуз,Қуёш,A
"Мантиқли савол: Кечаси чиқади, кундузи яширинади. Тўғри жавобни топинг.",Қуёш,Ой,Юлдуз,Фонарь,B
"Топинг: Кечаси чиқади, кундузи яширинади. Жавоб қайси?",Қуёш,Фонарь,Ой,Юлдуз,C
"Қуйидаги саволга жавоб беринг: Кечаси чиқади, кундузи яширинади. Қайси жавоб тўғри?",Юлдуз,Қуёш,Ой,Фонарь,C
"Ўйлаб кўринг: Кечаси чиқади, кундузи яширинади. Бу нима?",Юлдуз,Фонарь,Ой,Қуёш,C
"Тезкор савол: Кечаси чиқади, кундузи яширинади. Нима деб ўйлайсиз?",Фонарь,Ой,Қуёш,Юлдуз,B
"Оддий савол: Кечаси чиқади, кундузи яширинади. Тўғри жавобни топинг.",Фонарь,Юлдуз,Ой,Қуёш,C
"Эътибор билан ўқинг: Кечаси чиқади, кундузи яширинади. Жавоб қайси?",Ой,Юлдуз,Қуёш,Фонарь,A
"Савол: Кечаси чиқади, кундузи яширинади. Қайси жавоб тўғри?",Фонарь,Юлдуз,Қуёш,Ой,D
"Кечаси бор, кундузи йўқдек. Бу нима?",Юлдуз,Ой,Қуёш,Чироқ,A
"Жумбоқ: Кечаси бор, кундузи йўқдек. Нима деб ўйлайсиз?",Қуёш,Ой,Чироқ,Юлдуз,D
"Мантиқли савол: Кечаси бор, кундузи йўқдек. Тўғри жавобни топинг.",Юлдуз,Чироқ,Қуёш,Ой,A
"Топинг: Кечаси бор, кундузи йўқдек. Жавоб қайси?",Қуёш,Ой,Чироқ,Юлдуз,D
"Қуйидаги саволга жавоб беринг: Кечаси бор, кундузи йўқдек. Қайси жавоб тўғри?",Юлдуз,Ой,Чироқ,Қуёш,A
"Ўйлаб кўринг: Кечаси бор, кундузи йўқдек. Бу нима?",Ой,Юлдуз,Қуёш,Чироқ,B
"Тезкор савол: Кечаси бор, кундузи йўқдек. Нима деб ўйлайсиз?",Ой,Юлдуз,Қуёш,Чироқ,B
"Оддий савол: Кечаси бор, кундузи йўқдек. Тўғри жавобни топинг.",Чироқ,Ой,Юлдуз,Қуёш,C
"Эътибор билан ўқинг: Кечаси бор, кундузи йўқдек. Жавоб қайси?",Ой,Чироқ,Қуёш,Юлдуз,D
"Савол: Кечаси бор, кундузи йўқдек. Қайси жавоб тўғри?",Чироқ,Юлдуз,Ой,Қуёш,B
"Сиз билан юради, лекин тирик эмас. Бу нима?",Соя,Из,Булут,Туман,A
"Жумбоқ: Сиз билан юради, лекин тирик эмас. Нима деб ўйлайсиз?",Булут,Из,Туман,Соя,D
"Мантиқли савол: Сиз билан юради, лекин тирик эмас. Тўғри жавобни топинг.",Соя,Из,Булут,Туман,A
"Топинг: Сиз билан юради, лекин тирик эмас. Жавоб қайси?",Соя,Булут,Из,Туман,A
"Қуйидаги саволга жавоб беринг: Сиз билан юради, лекин тирик эмас. Қайси жавоб тўғри?",Туман,Булут,Соя,Из,C
"Ўйлаб кўринг: Сиз билан юради, лекин тирик эмас. Бу нима?",Из,Соя,Туман,Булут,B
"Тезкор савол: Сиз билан юради, лекин тирик эмас. Нима деб ўйлайсиз?",Булут,Соя,Из,Туман,B
"Оддий савол: Сиз билан юради, лекин тирик эмас. Тўғри жавобни топинг.",Булут,Соя,Из,Туман,B
"Эътибор билан ўқинг: Сиз билан юради, лекин тирик эмас. Жавоб қайси?",Соя,Из,Туман,Булут,A
"Савол: Сиз билан юради, лекин тирик эмас. Қайси жавоб тўғри?",Соя,Туман,Из,Булут,A
"Ўзи юрмайди, лекин юрганнинг ортидан қолади. Бу нима?",Из,Йўл,Чизиқ,Соя,A
"Жумбоқ: Ўзи юрмайди, лекин юрганнинг ортидан қолади. Нима деб ўйлайсиз?",Йўл,Из,Чизиқ,Соя,B
"Мантиқли савол: Ўзи юрмайди, лекин юрганнинг ортидан қолади. Тўғри жавобни топинг.",Из,Соя,Йўл,Чизиқ,A
"Топинг: Ўзи юрмайди, лекин юрганнинг ортидан қолади. Жавоб қайси?",Чизиқ,Соя,Йўл,Из,D
"Қуйидаги саволга жавоб беринг: Ўзи юрмайди, лекин юрганнинг ортидан қолади. Қайси жавоб тўғри?",Йўл,Чизиқ,Из,Соя,C
"Ўйлаб кўринг: Ўзи юрмайди, лекин юрганнинг ортидан қолади. Бу нима?",Соя,Чизиқ,Йўл,Из,D
"Тезкор савол: Ўзи юрмайди, лекин юрганнинг ортидан қолади. Нима деб ўйлайсиз?",Соя,Из,Чизиқ,Йўл,B
"Оддий савол: Ўзи юрмайди, лекин юрганнинг ортидан қолади. Тўғри жавобни топинг.",Чизиқ,Из,Соя,Йўл,B
"Эътибор билан ўқинг: Ўзи юрмайди, лекин юрганнинг ортидан қолади. Жавоб қайси?",Из,Чизиқ,Соя,Йўл,A
"Савол: Ўзи юрмайди, лекин юрганнинг ортидан қолади. Қайси жавоб тўғри?",Йўл,Чизиқ,Из,Соя,C
"Шаҳарлари бор, одамлари йўқ. Бу нима?",Расм,Дафтар,Китоб,Харита,D
"Жумбоқ: Шаҳарлари бор, одамлари йўқ. Нима деб ўйлайсиз?",Харита,Дафтар,Расм,Китоб,A
"Мантиқли савол: Шаҳарлари бор, одамлари йўқ. Тўғри жавобни топинг.",Китоб,Дафтар,Расм,Харита,D
"Топинг: Шаҳарлари бор, одамлари йўқ. Жавоб қайси?",Расм,Дафтар,Китоб,Харита,D
"Қуйидаги саволга жавоб беринг: Шаҳарлари бор, одамлари йўқ. Қайси жавоб тўғри?",Харита,Китоб,Расм,Дафтар,A
"Ўйлаб кўринг: Шаҳарлари бор, одамлари йўқ. Бу нима?",Харита,Китоб,Расм,Дафтар,A
"Тезкор савол: Шаҳарлари бор, одамлари йўқ. Нима деб ўйлайсиз?",Расм,Китоб,Харита,Дафтар,C
"Оддий савол: Шаҳарлари бор, одамлари йўқ. Тўғри жавобни топинг.",Расм,Харита,Китоб,Дафтар,B
"Эътибор билан ўқинг: Шаҳарлари бор, одамлари йўқ. Жавоб қайси?",Харита,Китоб,Дафтар,Расм,A
"Савол: Шаҳарлари бор, одамлари йўқ. Қайси жавоб тўғри?",Харита,Расм,Дафтар,Китоб,A
"Сувдан туғилади, сувда ўлади. Бу нима?",Қор,Туз,Шиша,Муз,D
"Жумбоқ: Сувдан туғилади, сувда ўлади. Нима деб ўйлайсиз?",Муз,Шиша,Қор,Туз,A
"Мантиқли савол: Сувдан туғилади, сувда ўлади. Тўғри жавобни топинг.",Туз,Муз,Қор,Шиша,B
"Топинг: Сувдан туғилади, сувда ўлади. Жавоб қайси?",Қор,Шиша,Муз,Туз,C
"Қуйидаги саволга жавоб беринг: Сувдан туғилади, сувда ўлади. Қайси жавоб тўғри?",Туз,Муз,Шиша,Қор,B
"Ўйлаб кўринг: Сувдан туғилади, сувда ўлади. Бу нима?",Шиша,Қор,Муз,Туз,C
"Тезкор савол: Сувдан туғилади, сувда ўлади. Нима деб ўйлайсиз?",Муз,Шиша,Туз,Қор,A
"Оддий савол: Сувдан туғилади, сувда ўлади. Тўғри жавобни топинг.",Туз,Шиша,Муз,Қор,C
"Эътибор билан ўқинг: Сувдан туғилади, сувда ўлади. Жавоб қайси?",Шиша,Муз,Туз,Қор,B
"Савол: Сувдан туғилади, сувда ўлади. Қайси жавоб тўғри?",Шиша,Муз,Туз,Қор,B
"Ичи тўла сув, ўзи сув ичмайди. Бу нима?",Тарвуз,Чойнак,Қовун,Қозон,A
"Жумбоқ: Ичи тўла сув, ўзи сув ичмайди. Нима деб ўйлайсиз?",Қовун,Тарвуз,Қозон,Чойнак,B
"Мантиқли савол: Ичи тўла сув, ўзи сув ичмайди. Тўғри жавобни топинг.",Қозон,Қовун,Тарвуз,Чойнак,C
"Топинг: Ичи тўла сув, ўзи сув ичмайди. Жавоб қайси?",Қозон,Тарвуз,Қовун,Чойнак,B
"Қуйидаги саволга жавоб беринг: Ичи тўла сув, ўзи сув ичмайди. Қайси жавоб тўғри?",Тарвуз,Қозон,Қовун,Чойнак,A
"Ўйлаб кўринг: Ичи тўла сув, ўзи сув ичмайди. Бу нима?",Қозон,Тарвуз,Чойнак,Қовун,B
"Тезкор савол: Ичи тўла сув, ўзи сув ичмайди. Нима деб ўйлайсиз?",Қозон,Чойнак,Қовун,Тарвуз,D
"Оддий савол: Ичи тўла сув, ўзи сув ичмайди. Тўғри жавобни топинг.",Чойнак,Қовун,Қозон,Тарвуз,D
"Эътибор билан ўқинг: Ичи тўла сув, ўзи сув ичмайди. Жавоб қайси?",Қозон,Тарвуз,Чойнак,Қовун,B
"Савол: Ичи тўла сув, ўзи сув ичмайди. Қайси жавоб тўғри?",Чойнак,Қозон,Қовун,Тарвуз,D
"Оғзи йўқ, лекин эшикни ёпади. Бу нима?",Тугма,Калит,Қулф,Эшик,C
"Жумбоқ: Оғзи йўқ, лекин эшикни ёпади. Нима деб ўйлайсиз?",Қулф,Тугма,Калит,Эшик,A
"Мантиқли савол: Оғзи йўқ, лекин эшикни ёпади. Тўғри жавобни топинг.",Қулф,Тугма,Калит,Эшик,A
"Топинг: Оғзи йўқ, лекин эшикни ёпади. Жавоб қайси?",Эшик,Тугма,Калит,Қулф,D
"Қуйидаги саволга жавоб беринг: Оғзи йўқ, лекин эшикни ёпади. Қайси жавоб тўғри?",Эшик,Тугма,Калит,Қулф,D
"Ўйлаб кўринг: Оғзи йўқ, лекин эшикни ёпади. Бу нима?",Калит,Тугма,Эшик,Қулф,D
"Тезкор савол: Оғзи йўқ, лекин эшикни ёпади. Нима деб ўйлайсиз?",Калит,Эшик,Тугма,Қулф,D
"Оддий савол: Оғзи йўқ, лекин эшикни ёпади. Тўғри жавобни топинг.",Калит,Тугма,Эшик,Қулф,D
"Эътибор билан ўқинг: Оғзи йўқ, лекин эшикни ёпади. Жавоб қайси?",Эшик,Тугма,Қулф,Калит,C
"Савол: Оғзи йўқ, лекин эшикни ёпади. Қайси жавоб тўғри?",Калит,Тугма,Эшик,Қулф,D
"Ўзи кичик, катта эшикни очади. Бу нима?",Калит,Қулф,Эшик,Мих,A
"Жумбоқ: Ўзи кичик, катта эшикни очади. Нима деб ўйлайсиз?",Қулф,Мих,Калит,Эшик,C
"Мантиқли савол: Ўзи кичик, катта эшикни очади. Тўғри жавобни топинг.",Эшик,Калит,Мих,Қулф,B
"Топинг: Ўзи кичик, катта эшикни очади. Жавоб қайси?",Мих,Эшик,Қулф,Калит,D
"Қуйидаги саволга жавоб беринг: Ўзи кичик, катта эшикни очади. Қайси жавоб тўғри?",Қулф,Калит,Эшик,Мих,B
"Ўйлаб кўринг: Ўзи кичик, катта эшикни очади. Бу нима?",Қулф,Мих,Эшик,Калит,D
"Тезкор савол: Ўзи кичик, катта эшикни очади. Нима деб ўйлайсиз?",Мих,Қулф,Эшик,Калит,D
"Оддий савол: Ўзи кичик, катта эшикни очади. Тўғри жавобни топинг.",Қулф,Мих,Эшик,Калит,D
"Эътибор билан ўқинг: Ўзи кичик, катта эшикни очади. Жавоб қайси?",Калит,Қулф,Мих,Эшик,A
"Савол: Ўзи кичик, катта эшикни очади. Қайси жавоб тўғри?",Мих,Қулф,Калит,Эшик,C
"Ўзи йиғлаб, атрофни ёритади. Бу нима?",Қуёш,Олов,Лампа,Шам,D
"Жумбоқ: Ўзи йиғлаб, атрофни ёритади. Нима деб ўйлайсиз?",Қуёш,Олов,Лампа,Шам,D
"Мантиқли савол: Ўзи йиғлаб, атрофни ёритади. Тўғри жавобни топинг.",Лампа,Шам,Олов,Қуёш,B
"Топинг: Ўзи йиғлаб, атрофни ёритади. Жавоб қайси?",Олов,Лампа,Шам,Қуёш,C
"Қуйидаги саволга жавоб беринг: Ўзи йиғлаб, атрофни ёритади. Қайси жавоб тўғри?",Шам,Олов,Лампа,Қуёш,A
"Ўйлаб кўринг: Ўзи йиғлаб, атрофни ёритади. Бу нима?",Қуёш,Шам,Лампа,Олов,B
"Тезкор савол: Ўзи йиғлаб, атрофни ёритади. Нима деб ўйлайсиз?",Қуёш,Олов,Лампа,Шам,D
"Оддий савол: Ўзи йиғлаб, атрофни ёритади. Тўғри жавобни топинг.",Шам,Олов,Қуёш,Лампа,A
"Эътибор билан ўқинг: Ўзи йиғлаб, атрофни ёритади. Жавоб қайси?",Қуёш,Лампа,Шам,Олов,C
"Савол: Ўзи йиғлаб, атрофни ёритади. Қайси жавоб тўғри?",Қуёш,Лампа,Шам,Олов,C
Қарасангиз ўзингизни кўрасиз. Бу нима?,Кўзгу,Сув,Расм,Ойна,A
Жумбоқ: Қарасангиз ўзингизни кўрасиз. Нима деб ўйлайсиз?,Кўзгу,Расм,Ойна,Сув,A
Мантиқли савол: Қарасангиз ўзингизни кўрасиз. Тўғри жавобни топинг.,Ойна,Расм,Сув,Кўзгу,D
